Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
SIN,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112494850/sin,3.0,-1,Sport,5.12a,1,70,38.2338,-80.8552
"Jason and the Arguenots","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107066142/jason-and-the-arguenots,2.3,-1,Sport,5.12a,1,55,38.2338,-80.8552
"Mojo Jojo Crack","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107895242/mojo-jojo-crack,2.2,-1,Trad,5.12a,1,40,38.2338,-80.8552
Wafer,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386659/wafer,1.5,-1,Sport,5.12a,1,40,38.2338,-80.8552
"Morse Code","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109829614/morse-code,3.0,-1,Sport,5.12a,1,75,38.2338,-80.8552
Logos,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107034659/logos,3.0,-1,Sport,5.12b,1,,38.2338,-80.8552
Rehab,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112494912/rehab,3.0,-1,Sport,5.12b,1,70,38.2338,-80.8552
"Max Payne","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112494661/max-payne,2.0,-1,Sport,5.12b,1,60,38.2338,-80.8552
Waverly,"Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109608905/waverly,2.0,-1,Sport,5.12b,1,40,38.2338,-80.8552
"Raw Milk","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113956550/raw-milk,2.0,-1,Sport,5.12c,1,70,38.2338,-80.8552
"Booger Sugar","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108730637/booger-sugar,3.0,-1,Trad,5.12a,1,60,38.22643,-80.85637
"Chopping Bloc","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108668551/chopping-bloc,4.0,-1,Sport,5.12a,1,60,38.22643,-80.85637
Penance,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108745426/penance,3.0,-1,Sport,5.12a,1,60,38.22643,-80.85637
"Cousteau's Crux","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108820543/cousteaus-crux,2.0,-1,Sport,5.12b,1,60,38.22643,-80.85637
"A Bit Worn Out","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111412652/a-bit-worn-out,2.5,-1,Sport,5.12b,1,50,38.22643,-80.85637
"Blood Trail","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108686297/blood-trail,4.0,-1,Sport,5.12,1,90,38.22643,-80.85637
Houseboy,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113906034/houseboy,4.0,-1,Trad,5.12c,1,80,38.22643,-80.85637
"Tongue Lashing","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111337589/tongue-lashing,4.0,-1,Sport,5.12c,1,90,38.22643,-80.85637
"Stumbling Dice","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109196174/stumbling-dice,3.0,-1,Sport,5.12c,1,70,38.22643,-80.85637
"Aryan Race","Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111340203/aryan-race,4.0,-1,Sport,5.12c,1,,38.22643,-80.85637
Kirkules,"Long Point > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116139732/kirkules,4.0,-1,Sport,5.13a,1,80,38.22643,-80.85637
"Tobacco Road","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106070704/tobacco-road,3.0,-1,Sport,5.12a/b,1,100,38.24146,-80.84583
"Reckless Abandon","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105967836/reckless-abandon,3.6,-1,Sport,5.12a/b,1,70,38.24146,-80.84583
Obitchuary,"The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106447781/obitchuary,2.1,-1,Sport,5.12b,1,80,38.24146,-80.84583
"Surfer Rosa","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106305759/surfer-rosa,4.0,-1,Sport,5.12d,1,70,38.24146,-80.84583
"Apollo Reed","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105989372/apollo-reed,3.9,-1,Sport,5.13a,1,90,38.24146,-80.84583
"The Mercy Seat","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106133382/the-mercy-seat,3.8,-1,Sport,5.13a/b,1,80,38.24146,-80.84583
Pod,"The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106133390/pod,3.9,-1,Sport,5.13b,1,70,38.24146,-80.84583
BC,"The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106215459/bc,4.0,-1,Sport,5.13b/c,1,70,38.24146,-80.84583
"Metz Hill Parking","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113132221/metz-hill-parking,2.0,-1,Sport,5.13d,1,70,38.24146,-80.84583
"Still Life","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112568355/still-life,4.0,-1,Sport,5.14b,1,70,38.24146,-80.84583
Journeyman,"The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113132019/journeyman,4.0,-1,Sport,5.14b,1,80,38.24146,-80.84583
"Super Pod","The Coliseum > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111187923/super-pod,-1.0,-1,Sport,5.14d,1,85,38.24146,-80.84583
Narcissus,"Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918466/narcissus,3.6,-1,Sport,5.12a,1,55,38.24193,-80.84067
"Ectomorph Arete","Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107650067/ectomorph-arete,2.0,-1,Sport,5.12d,1,65,38.24193,-80.84067
"Narcissus Direct","Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106062736/narcissus-direct,3.5,-1,Sport,5.12d,1,50,38.24193,-80.84067
"Suicide Blonde","Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108796697/suicide-blonde,3.0,-1,Sport,5.13b,1,60,38.24193,-80.84067
"Deep Throat","Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113113448/deep-throat,3.0,-1,Sport,5.13c,1,60,38.24193,-80.84067
"Black Panther","Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111400783/black-panther,3.0,-1,Sport,5.13a,1,40,38.2427,-80.8485
"Seven Minutes of Heaven","The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107829734/seven-minutes-of-heaven,1.9,-1,Sport,5.12a,1,20,38.24137,-80.84379
"Stone Cold Dixie","The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106562059/stone-cold-dixie,2.7,-1,Sport,5.12-,1,60,38.24137,-80.84379
"Psycho Babble","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112007161/psycho-babble,3.3,-1,Sport,5.12a,1,45,38.24156,-80.84428
"Vaseline Vision","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105997712/vaseline-vision,1.9,-1,Sport,5.12a/b,1,35,38.24156,-80.84428
"All the Way Baby","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105992257/all-the-way-baby,2.6,-1,Sport,5.12b,1,30,38.24156,-80.84428
"Angle of Attack","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107562040/angle-of-attack,3.2,-1,Sport,5.12c,1,30,38.24156,-80.84428
"Power Outage","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114254817/power-outage,2.0,-1,Sport,5.12d,1,,38.24156,-80.84428
Pro-Vision,"DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105992330/pro-vision,-1.0,-1,Sport,5.13a/b,1,45,38.24156,-80.84428
"Skinny Legs","DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107852687/skinny-legs,3.0,-1,Sport,5.13b,1,30,38.24156,-80.84428
"The Contortionist","Circus Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106758461/the-contortionist,3.2,-1,Sport,5.12a,1,65,38.24291,-80.8361
"Ly'n and Stealin'","Circus Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107074712/lyn-and-stealin,4.0,-1,Sport,5.12b,1,80,38.24291,-80.8361
"High Wire Act","Circus Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107560666/high-wire-act,3.3,-1,Sport,5.12b,1,80,38.24291,-80.8361
Trapezius,"Circus Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113633515/trapezius,3.9,-1,Sport,5.12b,1,80,38.24291,-80.8361
