Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rock Caddie","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195821/rock-caddie,1.8,-1,Sport,5.10a,1,50,37.8446,-83.6686
"Vector Trouble","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105865685/vector-trouble,3.7,-1,Trad,5.10a,1,100,37.8446,-83.6686
"Rock Wars","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868000/rock-wars,3.9,-1,Trad,5.10a,1,110,37.8446,-83.6686
"Boom Boom Out Go The Lights","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885186/boom-boom-out-go-the-lights,2.4,-1,Sport,5.10b,1,60,37.8446,-83.6686
"Fear and Loathing in Nada","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108037538/fear-and-loathing-in-nada,3.0,-1,Trad,5.10b,1,180,37.8446,-83.6686
Perforator,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868700/perforator,2.9,-1,Trad,5.10b/c,1,120,37.8446,-83.6686
"Back Door to Paris","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105891912/back-door-to-paris,2.4,-1,Sport,5.10c,1,70,37.8446,-83.6686
"Next Day Air","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107667730/next-day-air,3.2,-1,Trad,"5.10+ PG13",2,100,37.8446,-83.6686
"Kazi and Mito","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195787/kazi-and-mito,2.0,-1,Sport,5.11a,1,50,37.8446,-83.6686
B3,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868693/b3,3.7,-1,Trad,"5.11b PG13",1,120,37.8446,-83.6686
"Souders Crack","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106937634/souders-crack,3.0,-1,Trad,"5.11 R",1,80,37.8446,-83.6686
"Game Boy","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106309183/game-boy,3.3,-1,Sport,5.11c,1,140,37.8446,-83.6686
"Stand and Deliver","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195735/stand-and-deliver,3.0,-1,Sport,5.11c,1,70,37.8446,-83.6686
"Now I'm Nothing","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868029/now-im-nothing,3.1,-1,"Trad, TR, Boulder","5.11c V3 X",1,20,37.8446,-83.6686
"Whip It Out","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195752/whip-it-out,1.9,-1,Sport,5.11d,1,40,37.8446,-83.6686
"Trinket Man","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195762/trinket-man,2.5,-1,Sport,5.11d,1,90,37.8446,-83.6686
"Fire and Finess","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195778/fire-and-finess,-1.0,-1,Sport,5.11d,1,50,37.8446,-83.6686
"The Snatch","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195807/the-snatch,1.0,-1,Sport,5.11d,1,50,37.8446,-83.6686
"Reserved Seating","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885193/reserved-seating,2.6,-1,Sport,5.10b,1,50,37.8588,-83.67163
Brontosaurus,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860631/brontosaurus,3.6,-1,Trad,5.10b,1,60,37.8588,-83.67163
"Physical Attraction","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106176114/physical-attraction,3.0,-1,Trad,5.10b,1,80,37.8588,-83.67163
"Ju Ju","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885386/ju-ju,2.6,-1,Sport,5.10b,1,60,37.8588,-83.67163
Sundance,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885373/sundance,2.4,-1,Sport,5.10,1,60,37.8588,-83.67163
"Can o’ Peaches","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114573713/can-o-peaches,3.3,-1,Trad,5.11c,1,40,37.8588,-83.67163
"The Seam","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107618215/the-seam,2.3,-1,Trad,"5.11c R",1,30,37.8588,-83.67163
"High Noon","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885214/high-noon,2.0,-1,Sport,5.11d,1,60,37.8588,-83.67163
AWOL,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880940/awol,2.9,-1,Sport,5.10a,1,50,37.7334,-83.6591
"Andromeda Strain","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105871982/andromeda-strain,3.8,-1,Trad,5.10a,1,100,37.7334,-83.6591
Fadda,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860751/fadda,2.1,-1,Sport,5.10a,1,50,37.7334,-83.6591
"Runnin Down a Dream","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106402728/runnin-down-a-dream,3.8,-1,Trad,"5.10a R",2,75,37.7334,-83.6591
"Hard Left","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106065335/hard-left,2.8,-1,"Trad, Sport",5.10a,1,70,37.7334,-83.6591
"Battle of the Bulge","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/116191447/battle-of-the-bulge,2.0,-1,Trad,"5.10a R",1,80,37.7334,-83.6591
"You Can Tune a Piano, but You Can't Tuna Fish","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106286289/you-can-tune-a-piano-but-you-cant-tuna-fish,2.5,-1,Sport,5.10b,1,60,37.7334,-83.6591
"Crazy Fingers","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105886641/crazy-fingers,3.0,-1,Sport,5.10c,1,50,37.7334,-83.6591
"Mantel Route","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114466253/mantel-route,4.0,-1,Trad,5.10c,1,60,37.7334,-83.6591
"Pulling Pockets","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105893126/pulling-pockets,3.2,-1,Sport,5.10d,1,50,37.7334,-83.6591
"Just Duet","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106124912/just-duet,2.6,-1,Sport,5.10d,1,70,37.7334,-83.6591
Dragonslayer,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105886633/dragonslayer,3.1,-1,Sport,5.10d,1,50,37.7334,-83.6591
Synchronicity,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105889531/synchronicity,3.6,-1,Trad,5.11a,1,50,37.7334,-83.6591
"Up Yonder","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105901381/up-yonder,3.0,-1,Sport,5.11b,1,40,37.7334,-83.6591
"Harder Than Your Husband","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106045420/harder-than-your-husband,2.4,-1,Trad,5.11b,1,40,37.7334,-83.6591
"Eric and Brian's Excellent Adventure","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/113806944/eric-and-brians-excellent-adventure,1.0,-1,Sport,5.11d,1,95,37.7334,-83.6591
"Milkin' the Chicken","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105871993/milkin-the-chicken,1.5,-1,"Trad, Sport","5.11d PG13",1,50,37.7334,-83.6591
"The Return of Chris Snyder","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106020821/the-return-of-chris-snyder,3.9,-1,Sport,5.11d,1,100,37.7334,-83.6591
Hemisfear,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106369238/hemisfear,3.2,-1,Sport,5.11d,1,40,37.7334,-83.6591
Scissors,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107059158/scissors,2.6,-1,Sport,5.11d,1,50,37.7334,-83.6591
Mandarin,"Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870781/mandarin,2.0,-1,TR,5.10-,1,50,37.75195,-83.66364
TNT,"Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111858868/tnt,3.0,-1,Trad,5.10b,2,80,37.75195,-83.66364
"Diamond In The Rough","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860768/diamond-in-the-rough,3.3,-1,Sport,5.10c,1,80,37.75195,-83.66364
"Ruby Slippers","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870235/ruby-slippers,3.0,-1,Sport,5.10d,1,70,37.75195,-83.66364
"Yellow Brick Road","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870649/yellow-brick-road,3.7,-1,Sport,5.11b,1,50,37.75195,-83.66364
"Lolliop Kids","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870239/lolliop-kids,3.2,-1,Sport,5.11b,1,70,37.75195,-83.66364
"No Place Like Home","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870227/no-place-like-home,3.8,-1,Sport,5.11c,1,100,37.75195,-83.66364
Oz,"Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860773/oz,2.9,-1,Sport,5.11c,1,70,37.75195,-83.66364
"Flying Monkeys","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870231/flying-monkeys,2.5,-1,Sport,5.11d,1,70,37.75195,-83.66364
"Kentucky Pinstripe","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880920/kentucky-pinstripe,2.7,-1,Sport,5.10a,1,80,37.75162,-83.65731
"Loosen Up","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106109316/loosen-up,2.7,-1,Sport,5.10b,1,50,37.75162,-83.65731
"Dog Fight (a.k.a. Circa Man)","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107622069/dog-fight-aka-circa-man,2.8,-1,Sport,5.10d,1,60,37.75162,-83.65731
"Out For Justice","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106123164/out-for-justice,3.6,-1,Sport,5.11b,1,65,37.75162,-83.65731
Disappearer,"Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106309912/disappearer,2.8,-1,Sport,5.11c,1,70,37.75162,-83.65731
"Chem Studs","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106837601/chem-studs,2.0,-1,Sport,5.10a,1,35,37.86342,-83.67403
"Way of the Peaceful Warrior","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/115785913/way-of-the-peaceful-warrior,2.0,-1,Trad,5.10a,1,55,37.86342,-83.67403
"Black Friday","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111927066/black-friday,3.0,-1,Trad,5.10b,1,60,37.86342,-83.67403
Armed,"Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107639233/armed,2.0,-1,Trad,5.10b,1,55,37.86342,-83.67403
"A Fresh Start","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108877939/a-fresh-start,2.3,-1,Trad,5.10c,1,40,37.86342,-83.67403
"Cruising Lane","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105866423/cruising-lane,3.2,-1,Trad,5.10a,1,80,37.8029,-83.5762
"Headstone Surfer","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105866439/headstone-surfer,3.6,-1,Trad,5.10a,1,90,37.8029,-83.5762
"Manic Impression","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105866451/manic-impression,3.1,-1,Sport,5.10a,1,95,37.8029,-83.5762
"Local Color","Funk Rock City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105867551/local-color,2.0,-1,TR,"5.10b X",1,80,37.8029,-83.5762
