Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Big Country","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105865495/big-country,3.3,-1,Trad,"5.5 PG13",3,150,37.8446,-83.6686
"Ralph & Bob's","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105919218/ralph-bobs,1.4,-1,Trad,5.7,1,90,37.8446,-83.6686
"Long Wall Chimney","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105919225/long-wall-chimney,2.2,-1,Trad,5.7,1,100,37.8446,-83.6686
"Two Step","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868036/two-step,2.1,-1,Trad,5.7+,1,100,37.8446,-83.6686
"Route Less Traveled","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/116080236/route-less-traveled,0.0,-1,Trad,"5.7+ R",1,70,37.8446,-83.6686
"NEPA This","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107195728/nepa-this,1.0,-1,Trad,5.8-,1,90,37.8446,-83.6686
Mailbox,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868688/mailbox,2.1,-1,Trad,5.8,1,80,37.8446,-83.6686
"Suction Lipectomy","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/112304287/suction-lipectomy,1.0,-1,Trad,5.8,1,100,37.8446,-83.6686
"Rubus Fruticosus","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/115435009/rubus-fruticosus,3.0,-1,Trad,5.8+,2,120,37.8446,-83.6686
Yuk,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868048/yuk,3.6,-1,Trad,"5.9 PG13",1,70,37.8446,-83.6686
"Hot September","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106417287/hot-september,3.6,-1,Trad,5.9,1,100,37.8446,-83.6686
Autumn,"Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868022/autumn,3.7,-1,Trad,5.9,1,80,37.8446,-83.6686
"Cruise Control","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106417326/cruise-control,2.9,-1,Trad,5.9+,1,90,37.8446,-83.6686
"Your Mom","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114294012/your-mom,2.5,-1,Trad,"5.3 PG13",1,55,37.8588,-83.67163
Beachcomber,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105872860/beachcomber,2.1,-1,Trad,5.4,2,130,37.8588,-83.67163
Razorback,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105872786/razorback,1.7,-1,Trad,5.6,1,35,37.8588,-83.67163
"Environmental Impact","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860612/environmental-impact,3.1,-1,Trad,5.7,2,,37.8588,-83.67163
"The Arrowhead","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105869491/the-arrowhead,2.5,-1,Trad,"5.7 PG13",1,60,37.8588,-83.67163
"Roaming the Halls","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/109460220/roaming-the-halls,2.9,-1,Trad,"5.7 PG13",1,45,37.8588,-83.67163
"Exhibit A","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/115385966/exhibit-a,3.0,-1,Trad,"5.8 PG13",1,55,37.8588,-83.67163
"Zambezi Plunge","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105891711/zambezi-plunge,2.6,-1,Trad,5.8,1,50,37.8588,-83.67163
"Small Change","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114365859/small-change,2.0,-1,Trad,5.8,1,25,37.8588,-83.67163
"Broken Arrow","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/115381069/broken-arrow,2.0,-1,Trad,5.9-,1,50,37.8588,-83.67163
Sunburn,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105886882/sunburn,1.7,-1,"Trad, Sport",5.9-,1,50,37.8588,-83.67163
"Central Scrutinizer","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105865483/central-scrutinizer,3.4,-1,Trad,5.9,1,50,37.8588,-83.67163
"Big Money","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106373015/big-money,3.0,-1,Trad,5.9,1,70,37.8588,-83.67163
"Blood Money","Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111146059/blood-money,2.0,-1,Sport,5.9+,1,50,37.8588,-83.67163
Scabies,"Pebble Beach > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860576/scabies,2.4,-1,Sport,5.9+,1,40,37.8588,-83.67163
"Minas Tirith","Minas Tirith > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105854080/minas-tirith,3.5,-1,Trad,"5.9- PG13",2,100,37.8747,-83.66051
"There and Back Again","Lumpy Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105867989/there-and-back-again,2.0,-1,Trad,5.6,1,50,37.88899,-83.63638
"Razor Burn","Lumpy Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868180/razor-burn,1.0,-1,Trad,5.7,1,40,37.88899,-83.63638
"Major's Pinnacle","Lumpy Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105854086/majors-pinnacle,2.0,-1,Trad,"5.8 PG13",2,120,37.88899,-83.63638
"Steal Your Thunder","Lumpy Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868175/steal-your-thunder,3.0,-1,Trad,5.9+,1,100,37.88899,-83.63638
"Gumby Land","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105892936/gumby-land,2.3,-1,Trad,5.3,1,60,37.7334,-83.6591
Motha,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860755/motha,2.4,-1,Trad,5.6,1,50,37.7334,-83.6591
"Ledger Line","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105892929/ledger-line,2.2,-1,Sport,5.7,1,80,37.7334,-83.6591
"Strawberry Shortcake","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/113647225/strawberry-shortcake,1.9,-1,Trad,5.7,1,60,37.7334,-83.6591
"Roadside Attraction","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860741/roadside-attraction,3.7,-1,Trad,5.7,1,120,37.7334,-83.6591
"I Didn't Know This Was The End","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/113083865/i-didnt-know-this-was-the-end,1.0,-1,Trad,"5.7 R",1,150,37.7334,-83.6591
